@id,@lat,@lon,name,website,addr:street,opening_hours
2377938090,41.1010587,20.8059198,Cuba Libre Beach Club,,,
2377938236,41.0983462,20.8042407,Амброзија,,,
2377938288,41.0999773,20.8049971,Kadmo Beach Club,,,
3826400426,41.1126013,20.8027449,Connect,,,
4275553389,41.1122617,20.7912119,Пантелејмп,,,
5077399021,41.1133770,20.7996516,,https://www.facebook.com/ShillaCoffeeBar/,,
5890928713,41.1080463,20.8066006,Pardise,,,
6833100792,41.1175179,20.8015609,,,,
8946192917,41.1181619,20.7985290,Gostilnica Boem,,,
9200216331,41.1116510,20.8020830,Octava,,,
